state,year,week,incidence
Kelantan,2012,12,0
Kelantan,2012,13,2
Kelantan,2012,14,1
Kelantan,2012,15,0
Kelantan,2012,16,2
Kelantan,2012,17,0
Kelantan,2012,18,0
Kelantan,2012,19,0
Kelantan,2012,20,0
Kelantan,2012,21,1
Kelantan,2012,22,0
Kelantan,2012,23,0
Kelantan,2012,24,0
Kelantan,2012,25,0
Kelantan,2012,26,0
Kelantan,2012,27,0
Kelantan,2012,28,0
Kelantan,2012,29,0
Kelantan,2012,30,0
Kelantan,2012,31,1
Kelantan,2012,32,1
Kelantan,2012,33,0
Kelantan,2012,34,0
Kelantan,2012,35,1
Kelantan,2012,36,0
Kelantan,2012,37,1
Kelantan,2012,38,0
Kelantan,2012,39,0
Kelantan,2012,40,0
Kelantan,2012,41,0
Kelantan,2012,42,0
Kelantan,2012,43,0
Kelantan,2012,44,0
Kelantan,2012,45,0
Kelantan,2012,46,1
Kelantan,2012,47,0
Kelantan,2012,48,0
Kelantan,2012,49,0
Kelantan,2012,50,0
Kelantan,2012,51,1
Kelantan,2012,52,0
Kelantan,2013,1,0
Kelantan,2013,2,0
Kelantan,2013,3,0
Kelantan,2013,4,0
Kelantan,2013,5,0
Kelantan,2013,6,1
Kelantan,2013,7,0
Kelantan,2013,8,0
Kelantan,2013,9,0
Kelantan,2013,10,0
Kelantan,2013,11,2
Kelantan,2013,12,0
Kelantan,2013,13,0
Kelantan,2013,14,1
Kelantan,2013,15,1
Kelantan,2013,16,0
Kelantan,2013,17,1
Kelantan,2013,18,0
Kelantan,2013,19,0
Kelantan,2013,20,0
Kelantan,2013,21,0
Kelantan,2013,22,0
Kelantan,2013,23,0
Kelantan,2013,24,0
Kelantan,2013,25,0
Kelantan,2013,26,0
Kelantan,2013,27,0
Kelantan,2013,28,0
Kelantan,2013,29,1
Kelantan,2013,30,1
Kelantan,2013,31,1
Kelantan,2013,32,0
Kelantan,2013,33,0
Kelantan,2013,34,0
Kelantan,2013,35,0
Kelantan,2013,36,0
Kelantan,2013,37,1
Kelantan,2013,38,2
Kelantan,2013,39,0
Kelantan,2013,40,0
Kelantan,2013,41,1
Kelantan,2013,42,0
Kelantan,2013,43,2
Kelantan,2013,44,0
Kelantan,2013,45,0
Kelantan,2013,46,1
Kelantan,2013,47,0
Kelantan,2013,48,0
Kelantan,2013,49,0
Kelantan,2013,50,0
Kelantan,2013,51,0
Kelantan,2013,52,0
Kelantan,2014,1,0
Kelantan,2014,2,0
Kelantan,2014,3,0
Kelantan,2014,4,0
Kelantan,2014,5,0
Kelantan,2014,6,1
Kelantan,2014,7,1
Kelantan,2014,8,0
Kelantan,2014,9,1
Kelantan,2014,10,1
Kelantan,2014,11,1
Kelantan,2014,12,0
Kelantan,2014,13,1
Kelantan,2014,14,0
Kelantan,2014,15,0
Kelantan,2014,16,0
Kelantan,2014,17,0
Kelantan,2014,18,0
Kelantan,2014,19,0
Kelantan,2014,20,1
Kelantan,2014,21,0
Kelantan,2014,22,0
Kelantan,2014,23,1
Kelantan,2014,24,1
Kelantan,2014,25,0
Kelantan,2014,26,0
Kelantan,2014,27,2
Kelantan,2014,28,0
Kelantan,2014,29,2
Kelantan,2014,30,1
Kelantan,2014,31,2
Kelantan,2014,32,5
Kelantan,2014,33,3
Kelantan,2014,34,5
Kelantan,2014,35,3
Kelantan,2014,36,1
Kelantan,2014,37,0
Kelantan,2014,38,1
Kelantan,2014,39,0
Kelantan,2014,40,2
Kelantan,2014,41,0
Kelantan,2014,42,0
Kelantan,2014,43,0
Kelantan,2014,44,0
Kelantan,2014,45,0
Kelantan,2014,46,1
Kelantan,2014,47,0
Kelantan,2014,48,0
Kelantan,2014,49,0
Kelantan,2014,50,0
Kelantan,2014,51,0
Kelantan,2014,52,0
Kelantan,2014,53,0
Kelantan,2015,1,0
Kelantan,2015,2,0
Kelantan,2015,3,1
Kelantan,2015,4,0
Kelantan,2015,5,0
Kelantan,2015,6,0
Kelantan,2015,7,0
Kelantan,2015,8,0
Kelantan,2015,9,0
Kelantan,2015,10,0
Kelantan,2015,11,0
Kelantan,2015,12,0
Kelantan,2015,13,1
Kelantan,2015,14,0
Kelantan,2015,15,0
Kelantan,2015,16,0
Kelantan,2015,17,0
Kelantan,2015,18,0
Kelantan,2015,19,0
Kelantan,2015,20,0
Kelantan,2015,21,0
Kelantan,2015,22,0
Kelantan,2015,23,0
Kelantan,2015,24,0
Kelantan,2015,25,0
Kelantan,2015,26,0
Kelantan,2015,27,1
Kelantan,2015,28,0
Kelantan,2015,29,1
Kelantan,2015,30,0
Kelantan,2015,31,0
Kelantan,2015,32,0
Kelantan,2015,33,0
Kelantan,2015,34,0
Kelantan,2015,35,0
Kelantan,2015,36,2
Kelantan,2015,37,0
Kelantan,2015,38,0
Kelantan,2015,39,1
Kelantan,2015,40,0
Kelantan,2015,41,0
Kelantan,2015,42,1
Kelantan,2015,43,1
Kelantan,2015,44,0
Kelantan,2015,45,0
Kelantan,2015,46,0
Kelantan,2015,47,0
Kelantan,2015,48,0
Kelantan,2015,49,0
Kelantan,2015,50,0
Kelantan,2015,51,0
Kelantan,2015,52,1
Kelantan,2016,1,0
Kelantan,2016,2,0
Kelantan,2016,3,0
Kelantan,2016,4,0
Kelantan,2016,5,1
Kelantan,2016,6,0
Kelantan,2016,7,0
Kelantan,2016,8,1
Kelantan,2016,9,0
Kelantan,2016,10,0
Kelantan,2016,11,0
Kelantan,2016,12,0
Kelantan,2016,13,0
Kelantan,2016,14,0
Kelantan,2016,15,0
Kelantan,2016,16,0
Kelantan,2016,17,0
Kelantan,2016,18,0
Kelantan,2016,19,1
Kelantan,2016,20,0
Kelantan,2016,21,0
